Time period:,,,,January,,Time period:,,,,February,,Time period:,,,,Maret,,Time period:,,,,April
Timezone,,,,UTC+7,,Timezone,,,,UTC+7,,Timezone,,,,UTC+7,,Timezone,,,,UTC+7
Currency,,,,IDR,,Currency,,,,IDR,,Currency,,,,IDR,,Currency,,,,IDR
,,,,,,,,,,,,,,,,,,,,,,
Warehouse service fee,"Fees that are charged as part of warehouse services provision, such as wrapping service operations fee, wrapping service fee, barcode labelling fee, new product inspection service fee and so on",,,,,,,,,,,,,,,,,,,,,
Platform commission adjustment,Adjustment when there are differences in the platform commission paid by the seller,,,,,,,,,,,,,,,,,,,,,
Platform commission compensation,Compensation to seller when there are differences in the platform commission paid by the seller,,,,,,,,,,,,,,,,,,,,,
Transaction fee adjustment,The difference between the required transaction fee and the amount paid by seller.,,,,,,,,,,,,,,,,,,,,,
Top up for ads from settled balances,"Settled balances of shops will be used to pay for ads, when sellers click ""auto pay ads with shop GMV""",,,,,,,,,,,,,,,,,,,,,
Campaign Package,Amount of campaign package fee from program seller joining in,,,,,,,,,,,,,,,,,,,,,
Additional Campaign Package,Amount of additional campaign package fee from program seller joining in,,,,,,,,,,,,,,,,,,,,,
GMV Payment for TikTok Ads,"Settled balances of shops will be used to pay for ads, when sellers choose GMV Pay for manual topup or click ""auto pay ads with shop GMV""",,,,,,,,,,,,,,,,,,,,,
GMV Payment for Promote,"Settled balances of shops will be used to pay for ads, specifically for TikTok Promote orders",,,,,,,,,,,,,,,,,,,,,
Shipping insurance compensation,"Compensation paid for your claim on lost or damaged packages, covering product prices or return/exchange fees.",,,,,,,,,,,,,,,,,,,,,
Other adjustment,Adjustments for other reasons,,,,,,,,,,,,,,,,,,,,,
Additional supporting information,,,,,,,,,,,,,,,,,,,,,,
Customer payment,The total amount paid by the customer,,,,,,,,,,,,,,,,,,,,,
Customer refund,The exact amount refunded to the customer,,,,,,,,,,,,,,,,,,,,,
Seller co-funded voucher discount,Seller's portion of Co-Funded Voucher discount amount (funded by the seller) during seller's participation in Co-Funding Campaigns,,,,,,,,,,,,,,,,,,,,,
Refund of seller co-funded voucher discount,The discount amount refunded to the seller which is derived from seller's portion of Co-Funded Voucher (funded by the seller) during seller's participation in Co-Funding Campaigns.,,,,,,,,,,,,,,,,,,,,,
Platform discounts,"Platform discounts is the total amount of discounts funded by the platform (TikTok Shop). This amount is derived from:

i) Discounts funded by platform through Platform's Direct Subsidy, Platform Flash Deal, Platform Buy More Save More and Platform Voucher.
ii) Platform's portion of Co-Funded Voucher discount amount (funded by the platform) during Co-Funding Campaigns.",,,,,,,,,,,,,,,,,,,,,
Refund of platform discounts,"The discount amount refunded to the platform. This refunded amount is derived from:

i) Discounts funded by platform through Platform's Direct Subsidy, Platform Flash Deal, Platform Buy More Save More and Platform Voucher.
ii) Platform's portion of Co-Funded Voucher discount amount (funded by the platform) during Co-Funding Campaigns.",,,,,,,,,,,,,,,,,,,,,
Platform co-funded voucher discounts,Platform's portion of Co-Funded Voucher discount amount (funded by the platform) during Co-Funding Campaigns,,,,,,,,,,,,,,,,,,,,,
Refund of platform co-funded voucher discounts,The discount amount refunded to the platform which is derived from platform's portion of Co-Funded Voucher (funded by the platform) during Co-Funding Campaigns.,,,,,,,,,,,,,,,,,,,,,
Seller shipping cost discount,The shipping cost discount provided by sellers.,,,,,,,,,,,,,,,,,,,,,
Estimated package weight,Product weight uploaded by the seller,,,,,,,,,,,,,,,,,,,,,
Actual package weight,Weight measured by the platform logistics provider,,,,,,,,,,,,,,,,,,,,,
